ISBN,Book-Title,Book-Author,Year-Of-Publication,Publisher,Genre
195153448,Classical Mythology,Mark P. O. Morford,2002,Oxford University Press,Thriller
2005018,Clara Callan,Richard Bruce Wright,2001,HarperFlamingo Canada,Romance
60973129,Decision in Normandy,Carlo D'Este,1991,HarperPerennial,Fantasy
374157065,Flu: The Story of the Great Influenza Pandemic of 1918 and the Search for the Virus That Caused It,Gina Bari Kolata,1999,Farrar Straus Giroux,Self-Help
393045218,The Mummies of Urumchi,E. J. W. Barber,1999,W. W. Norton &amp; Company,Science Fiction
399135782,The Kitchen God's Wife,Amy Tan,1991,Putnam Pub Group,Philosophy
425176428,What If?: The World's Foremost Military Historians Imagine What Might Have Been,Robert Cowley,2000,Berkley Publishing Group,Mystery
671870432,PLEADING GUILTY,Scott Turow,1993,Audioworks,Fantasy
679425608,Under the Black Flag: The Romance and the Reality of Life Among the Pirates,David Cordingly,1996,Random House,Poetry
074322678X,Where You'll Find Me: And Other Stories,Ann Beattie,2002,Scribner,Mystery
771074670,Nights Below Station Street,David Adams Richards,1988,Emblem Editions,Religion
080652121X,Hitler's Secret Bankers: The Myth of Swiss Neutrality During the Holocaust,Adam Lebor,2000,Citadel Press,Philosophy
887841740,The Middle Stories,Sheila Heti,2004,House of Anansi Press,Self-Help
1552041778,Jane Doe,R. J. Kaiser,1999,Mira Books,Health
1567407781,The Witchfinder (Amos Walker Mystery Series),Loren D. Estleman,1998,Brilliance Audio - Trade,Philosophy
1575663937,More Cunning Than Man: A Social History of Rats and Man,Robert Hendrickson,1999,Kensington Publishing Corp.,Fantasy
1881320189,Goodbye to the Buttermilk Sky,Julia Oliver,1994,River City Pub,Philosophy
440234743,The Testament,John Grisham,1999,Dell,Philosophy
452264464,Beloved (Plume Contemporary Fiction),Toni Morrison,1994,Plume,Travel
609804618,Our Dumb Century: The Onion Presents 100 Years of Headlines from America's Finest News Source,The Onion,1999,Three Rivers Press,Religion
1841721522,New Vegetarian: Bold and Beautiful Recipes for Every Occasion,Celia Brooks Brown,2001,Ryland Peters &amp; Small Ltd,Thriller
1879384493,If I'd Known Then What I Know Now: Why Not Learn from the Mistakes of Others? : You Can't Afford to Make Them All Yourself,J. R. Parrish,2003,Cypress House,Religion
61076031,Mary-Kate &amp; Ashley Switching Goals (Mary-Kate and Ashley Starring in),Mary-Kate &amp; Ashley Olsen,2000,HarperEntertainment,Romance
439095026,Tell Me This Isn't Happening,Robynn Clairday,1999,Scholastic,Self-Help
689821166,Flood : Mississippi 1927,Kathleen Duey,1998,Aladdin,Philosophy
971880107,Wild Animus,Rich Shapero,2004,Too Far,Religion
345402871,Airframe,Michael Crichton,1997,Ballantine Books,Fiction
345417623,Timeline,MICHAEL CRICHTON,2000,Ballantine Books,Business
684823802,OUT OF THE SILENT PLANET,C.S. Lewis,1996,Scribner,Biography
375759778,Prague : A Novel,ARTHUR PHILLIPS,2003,Random House Trade Paperbacks,Poetry
425163091,Chocolate Jesus,Stephan Jaramillo,1998,Berkley Publishing Group,Fantasy
3404921038,Wie Barney es sieht.,Mordecai Richler,2002,LÃ?Â¼bbe,Business
3442353866,Der Fluch der Kaiserin. Ein Richter- Di- Roman.,Eleanor Cooney,2001,Goldmann,Health
3442446937,Tage der Unschuld.,Richard North Patterson,2000,Goldmann,Travel
446310786,To Kill a Mockingbird,Harper Lee,1988,Little Brown &amp; Company,Romance
449005615,Seabiscuit: An American Legend,LAURA HILLENBRAND,2002,Ballantine Books,Science Fiction
60168013,Pigs in Heaven,Barbara Kingsolver,1993,Harpercollins,Science Fiction
055321215X,Pride and Prejudice,Jane Austen,1983,Bantam,Health
61099686,Downtown,Anne Rivers Siddons,1995,HarperTorch,Fiction
553582909,Icebound,Dean R. Koontz,2000,Bantam Books,Self-Help
671888587,I'll Be Seeing You,Mary Higgins Clark,1994,Pocket,Fantasy
553582747,From the Corner of His Eye,Dean Koontz,2001,Bantam Books,Thriller
042518630X,Purity in Death,J.D. Robb,2002,Berkley Publishing Group,Romance
440223571,This Year It Will Be Different: And Other Stories,Maeve Binchy,1997,Dell,Romance
812523873,Proxies,Laura J. Mixon,1999,Tor Books,Biography
842342702,Left Behind: A Novel of the Earth's Last Days (Left Behind #1),Tim Lahaye,2000,Tyndale House Publishers,Non-Fiction
440225701,The Street Lawyer,JOHN GRISHAM,1999,Dell,Business
60914068,"Love, Medicine and Miracles",M.D. Bernie S. Siegel,1988,HarperCollins Publishers,Psychology
156047624,All the King's Men,Robert Penn Warren,1982,Harvest Books,Fiction
245542957,Pacific Northwest,Hans Johannes Hoefer,1985,Chambers Harrap Publishers Ltd,Psychology
380715899,A Soldier of the Great War,Mark Helprin,1992,Avon Books,Non-Fiction
553280333,Getting Well Again,O. Carol Simonton Md,1992,Bantam,Self-Help
961769947,Northwest Wines and Wineries,Chuck Hill,1993,Speed Graphics,Travel
964778319,An Atmosphere of Eternity: Stories of India,David Iglehart,2002,Sunflower Press,Fantasy
679810307,Shabanu: Daughter of the Wind (Border Trilogy),SUZANNE FISHER STAPLES,1991,Laurel Leaf,Non-Fiction
679865691,Haveli (Laurel Leaf Books),SUZANNE FISHER STAPLES,1995,Laurel Leaf,Mystery
2070423204,Lieux dits,Michel Tournier,2002,Gallimard,Travel
345260317,The Dragons of Eden: Speculations on the Evolution of Human Intelligence,Carl Sagan,1978,Ballantine Books,Business
394743741,The yawning heights,Aleksandr Zinoviev,1980,Random House,Self-Help
