PJME_MW,dow,doy,year,month,quarter,hour,dom,date,season,year_diff
30393.0,1,1,2002,1,1,1,1,2002-01-01,Winter,
29265.0,1,1,2002,1,1,2,1,2002-01-01,Winter,0.0
28357.0,1,1,2002,1,1,3,1,2002-01-01,Winter,0.0
27899.0,1,1,2002,1,1,4,1,2002-01-01,Winter,0.0
28057.0,1,1,2002,1,1,5,1,2002-01-01,Winter,0.0
28654.0,1,1,2002,1,1,6,1,2002-01-01,Winter,0.0
29308.0,1,1,2002,1,1,7,1,2002-01-01,Winter,0.0
29595.0,1,1,2002,1,1,8,1,2002-01-01,Winter,0.0
29943.0,1,1,2002,1,1,9,1,2002-01-01,Winter,0.0
30692.0,1,1,2002,1,1,10,1,2002-01-01,Winter,0.0
31395.0,1,1,2002,1,1,11,1,2002-01-01,Winter,0.0
31496.0,1,1,2002,1,1,12,1,2002-01-01,Winter,0.0
31031.0,1,1,2002,1,1,13,1,2002-01-01,Winter,0.0
30360.0,1,1,2002,1,1,14,1,2002-01-01,Winter,0.0
29798.0,1,1,2002,1,1,15,1,2002-01-01,Winter,0.0
29720.0,1,1,2002,1,1,16,1,2002-01-01,Winter,0.0
31271.0,1,1,2002,1,1,17,1,2002-01-01,Winter,0.0
35103.0,1,1,2002,1,1,18,1,2002-01-01,Winter,0.0
35732.0,1,1,2002,1,1,19,1,2002-01-01,Winter,0.0
35639.0,1,1,2002,1,1,20,1,2002-01-01,Winter,0.0
35285.0,1,1,2002,1,1,21,1,2002-01-01,Winter,0.0
34007.0,1,1,2002,1,1,22,1,2002-01-01,Winter,0.0
31857.0,1,1,2002,1,1,23,1,2002-01-01,Winter,0.0
29563.0,2,2,2002,1,1,0,2,2002-01-02,Winter,0.0
28121.0,2,2,2002,1,1,1,2,2002-01-02,Winter,0.0
27437.0,2,2,2002,1,1,2,2,2002-01-02,Winter,0.0
27301.0,2,2,2002,1,1,3,2,2002-01-02,Winter,0.0
27533.0,2,2,2002,1,1,4,2,2002-01-02,Winter,0.0
28405.0,2,2,2002,1,1,5,2,2002-01-02,Winter,0.0
30748.0,2,2,2002,1,1,6,2,2002-01-02,Winter,0.0
34725.0,2,2,2002,1,1,7,2,2002-01-02,Winter,0.0
37313.0,2,2,2002,1,1,8,2,2002-01-02,Winter,0.0
37322.0,2,2,2002,1,1,9,2,2002-01-02,Winter,0.0
37035.0,2,2,2002,1,1,10,2,2002-01-02,Winter,0.0
36758.0,2,2,2002,1,1,11,2,2002-01-02,Winter,0.0
36284.0,2,2,2002,1,1,12,2,2002-01-02,Winter,0.0
35548.0,2,2,2002,1,1,13,2,2002-01-02,Winter,0.0
34978.0,2,2,2002,1,1,14,2,2002-01-02,Winter,0.0
34304.0,2,2,2002,1,1,15,2,2002-01-02,Winter,0.0
34169.0,2,2,2002,1,1,16,2,2002-01-02,Winter,0.0
35674.0,2,2,2002,1,1,17,2,2002-01-02,Winter,0.0
39532.0,2,2,2002,1,1,18,2,2002-01-02,Winter,0.0
40002.0,2,2,2002,1,1,19,2,2002-01-02,Winter,0.0
39484.0,2,2,2002,1,1,20,2,2002-01-02,Winter,0.0
38693.0,2,2,2002,1,1,21,2,2002-01-02,Winter,0.0
37016.0,2,2,2002,1,1,22,2,2002-01-02,Winter,0.0
34332.0,2,2,2002,1,1,23,2,2002-01-02,Winter,0.0
31451.0,3,3,2002,1,1,0,3,2002-01-03,Winter,0.0
29414.0,3,3,2002,1,1,1,3,2002-01-03,Winter,0.0
28537.0,3,3,2002,1,1,2,3,2002-01-03,Winter,0.0
28118.0,3,3,2002,1,1,3,3,2002-01-03,Winter,0.0
28106.0,3,3,2002,1,1,4,3,2002-01-03,Winter,0.0
28650.0,3,3,2002,1,1,5,3,2002-01-03,Winter,0.0
30687.0,3,3,2002,1,1,6,3,2002-01-03,Winter,0.0
